id,text,annotations
16,"Еще один прививочный пункт находится в ФАПе у офиса МФЦ в Можайске по адресу: улица 20 Января, д.6 .","Еще O
один O
прививочный O
пункт O
находится O
в O
ФАПе O
у O
офиса O
МФЦ O
в O
Можайске O
по O
адресу O
: O
улица B-Street
20 I-Street
Января I-Street
, O
д. B-House
6 I-House
. O"
17,"На Рублевском шоссе единым лотом были выставлены здания, строения и сооружения военного городка, расположенного по адресу: Москва, Рублевское шоссе, дом 151, и три земельных участка площадью 23 тысячи кв.","На O
Рублевском O
шоссе B-Highway
единым I-Highway
лотом I-Highway
были I-Highway
выставлены I-Highway
здания I-Highway
, O
строения O
и O
сооружения O
военного O
городка O
, O
расположенного O
по O
адресу O
: O
Москва O
, O
Рублевское O
шоссе B-Highway
, O
дом B-House
151 I-House
, O
и O
три O
земельных O
участка O
площадью O
23 O
тысячи O
кв. B-Flat"
18,"Вместе с имуществом на Рублевке на аукцион был выставлен и военный городок номер 23/1, расположенный по адресу: Москва, улица Левобережная, дом 6 «а», и земельный участок площадью 28,403 тысячи квадратных метров.","Вместе O
с O
имуществом O
на O
Рублевке O
на O
аукцион O
был O
выставлен O
и O
военный O
городок O
номер O
23/1 O
, O
расположенный O
по O
адресу O
: O
Москва O
, O
улица B-Street
Левобережная I-Street
, O
дом B-House
6 I-House
« O
а O
» O
, O
и O
земельный O
участок O
площадью O
28 O
, O
403 O
тысячи O
квадратных O
метров. O"
19,"'Гостей ждут по адресу: п.Тучково, ул.Комсомольская, д.3.'","' O
Гостей O
ждут O
по O
адресу O
: O
п. O
Тучково O
, O
ул. B-Street
Комсомольская I-Street
, O
д. B-House
3 I-House
. O
' O"
20,"Теперь, чтобы передать официальное обращение в Госжилинспекцию региона, нужно опустить его в ящик для приема входящей корреспонденции, установленный в холле на первом этаже по адресу: г.Москва, ул Кулакова, дом 20, корп.1, технопарк «Орбита-2», корпус «Бета», 7-й этаж.","Теперь O
, O
чтобы O
передать O
официальное O
обращение O
в O
Госжилинспекцию O
региона O
, O
нужно O
опустить O
его O
в O
ящик O
для O
приема O
входящей O
корреспонденции O
, O
установленный O
в O
холле O
на O
первом O
этаже O
по O
адресу O
: O
г. B-City
Москва I-City
, O
ул B-Street
Кулакова I-Street
, O
дом B-House
20 I-House
, O
корп. B-Building
1 I-Building
, O
технопарк O
« O
Орбита O
- O
2 O
» O
, O
корпус B-Building
« O
Бета O
» O
, O
7 O
- O
й O
этаж. O"
21,"Как сообщил «Интерфаксу» источник в правоохранительных органах, в понедельник около 21:25 по московскому времени по адресу: ул.Новаторов, дом 3, где расположен родильный дом, произошло отключение электропитания.","Как O
сообщил O
« O
Интерфаксу O
» O
источник O
в O
правоохранительных O
органах O
, O
в O
понедельник O
около O
21 O
: O
25 O
по O
московскому O
времени O
по O
адресу O
: O
ул. B-Street
Новаторов I-Street
, O
дом B-House
3 I-House
, O
где O
расположен O
родильный O
дом O
, O
произошло O
отключение O
электропитания O
. O"
22,"Гостей литературной встречи ждут по адресу: пос.Дорохово, ул.Виксне, д.2а.","Гостей O
литературной O
встречи O
ждут O
по O
адресу O
: O
пос. O
Дорохово O
, O
ул. B-Street
Виксне I-Street
, O
д. B-House
2а I-House
. O"
23,"По вопросам чистоты, порядка и благоустройства обращайтесь по адресу: г.Руза, ул.Социалистическая, д.74, 2-й этаж.","По O
вопросам O
чистоты O
, O
порядка O
и O
благоустройства O
обращайтесь O
по O
адресу O
: O
г. B-City
Руза I-City
, O
ул. B-Street
Социалистическая I-Street
, O
д. B-House
74 I-House
, O
2 O
- O
й O
этаж. O"
24,"На северо-западе Москвы вспыхнул сильный пожар на автостоянке гаражного типа по адресу: ул.Нижние Мневники, владение 102, передает [http://www.rian.ru/ РИА «Новости»].","На O
северо-западе O
Москвы O
вспыхнул O
сильный O
пожар O
на O
автостоянке O
гаражного O
типа O
по O
адресу O
: O
ул. B-Street
Нижние I-Street
Мневники I-Street
, O
владение O
102 O
, O
передает O
http O
: O
www. O
rian. O
ru O
РИА O
« O
Новости O
» O
. O"
25,"В Москве подарки будут принимать в синодальном Отделе по церковной благотворительности ежедневно с 10:00 до 21:00 по адресу: ул.Николоямская, д.57, стр.7.","В O
Москве O
подарки O
будут O
принимать O
в O
синодальном O
Отделе O
по O
церковной O
благотворительности O
ежедневно O
с O
10 O
: O
00 O
до O
21 O
: O
00 O
по O
адресу O
: O
ул. B-Street
Николоямская I-Street
, O
д. B-House
57 I-House
, O
стр. B-Building
7 I-Building
. O"
26,"жители Рузского округа могут обращаться в территориальный отдел №31 госадмтехнадзора по адресу: г.Руза, ул.Социалистическая, д.74, 2-й этаж.","жители O
Рузского O
округа O
могут O
обращаться O
в O
территориальный O
отдел O
№ O
31 O
госадмтехнадзора O
по O
адресу O
: O
г. B-City
Руза I-City
, O
ул. B-Street
Социалистическая I-Street
, O
д. B-House
74 I-House
, O
2 O
- O
й O
этаж. O"
27,"Карталы Челябинской областипроизошел пожар в одноэтажном частном жилом доме по адресу: ул.Геологов, дом 2.","Карталы O
Челябинской O
областипроизошел O
пожар O
в O
одноэтажном O
частном O
жилом O
доме O
по O
адресу O
: O
ул. B-Street
Геологов I-Street
, O
дом B-House
2 I-House
. O"
28,"Как сообщает в воскресенье пресс-служба ГУ МЧС по Москве, накануне в 10:24 пожарные подразделения выезжали на тушение пожара по адресу: ул.Обручева, дом 16, корп.2.","Как O
сообщает O
в O
воскресенье O
пресс-служба O
ГУ O
МЧС O
по O
Москве O
, O
накануне O
в O
10 O
: O
24 O
пожарные O
подразделения O
выезжали O
на O
тушение O
пожара O
по O
адресу O
: O
ул. B-Street
Обручева I-Street
, O
дом B-House
16 I-House
, O
корп. B-Building
2 I-Building
. O"
29,"Это помещение в Рузе по адресу: улица Федеративная, дом № 8, а также почтовые отделения в Тучкове (ул.","Это O
помещение O
в O
Рузе O
по O
адресу O
: O
улица B-Street
Федеративная I-Street
, O
дом O
№ O
8 O
, O
а O
также O
почтовые O
отделения O
в O
Тучкове O
( O
ул. B-Street"
30,"Оставить заявку для участия необходимо в Рузском управлении социальной защиты по адресу: г.Руза, ул.Социалистическая, д.59, телефоны Горячей линии: 8(49627)23-501, 8(49627)21-992, электронная почта — ruz5052@mosreg.ru.","Оставить O
заявку O
для O
участия O
необходимо O
в O
Рузском O
управлении O
социальной O
защиты O
по O
адресу O
: O
г. B-City
Руза I-City
, O
ул. B-Street
Социалистическая I-Street
, O
д. B-House
59 I-House
, O
телефоны O
Горячей O
линии O
: O
8 O
( O
49627 O
) O
23 O
- O
501 O
, O
8 O
( O
49627 O
) O
21 O
- O
992 O
, O
электронная O
почта O
— O
ruz O
5052 O
mosreg. O
ru. O"
31,"""Завершен демонтаж пятиэтажки первого периода индустриального домостроения по адресу: ул.Профсоюзная, д.98, корп.7.",""" O
Завершен O
демонтаж O
пятиэтажки O
первого O
периода O
индустриального O
домостроения O
по O
адресу O
: O
ул. B-Street
Профсоюзная I-Street
, O
д. B-House
98 I-House
, O
корп. B-Building
7 I-Building
. O"
32,"метра, расположенные по адресу: Москва, Молочный пер., д.6.","метра O
, O
расположенные O
по O
адресу O
: O
Москва O
, O
Молочный O
пер. B-Lane
, O
д. B-House
6 I-House
. O"
33,"метра по адресу: Москва, Молочный пер., д.6, кв.1 (4-комн.), кв.7 (4-комн.) и кв.6 (4-комн.), общей рыночной стоимостью от 700 миллионов до 1 миллиарда рублей (без отделки).","метра O
по O
адресу O
: O
Москва O
, O
Молочный O
пер. B-Lane
, O
д. B-House
6 I-House
, O
кв. B-Flat
1 I-Flat
( O
4 O
- O
комн. O
) O
, O
кв. B-Flat
7 I-Flat
( O
4 O
- O
комн. O
) O
и O
кв. B-Flat
6 I-Flat
( O
4 O
- O
комн. O
) O
, O
общей O
рыночной O
стоимостью O
от O
700 O
миллионов O
до O
1 O
миллиарда O
рублей O
( O
без O
отделки O
) O
. O"
34,"Работы принимаются до 12 июня включительно администрацией Рузского городского округа по адресу: г.Руза, ул.Партизан, дом 15, кабинет №8.","Работы O
принимаются O
до O
12 O
июня O
включительно O
администрацией O
Рузского O
городского O
округа O
по O
адресу O
: O
г. B-City
Руза I-City
, O
ул. B-Street
Партизан I-Street
, O
дом B-House
15 I-House
, O
кабинет O
№ O
8 O
. O"
35,"13-я городская больница расположена по адресу Велозаводская ул., д.1.","13 O
- O
я O
городская O
больница O
расположена O
по O
адресу O
Велозаводская O
ул. B-Street
, O
д. B-House
1 I-House
. O"
36,"«В 22:50 по адресу Дмитровское шоссе, дом 2 сотрудникполиции попытался остановить автомобиль Saab 9-5.","« O
В O
22 O
: O
50 O
по O
адресу O
Дмитровское O
шоссе B-Highway
, O
дом B-House
2 I-House
сотрудникполиции I-House
попытался I-House
остановить I-House
автомобиль O
Saab O
9 O
- O
5 O
. O"
37,"Национальный дом Мексики будет работать с 15 июня 2018 года по 3 июля 2018 года с 12:00 до 0:00 в Москве по адресу: Гостиный двор, ул.","Национальный O
дом O
Мексики O
будет O
работать O
с O
15 O
июня O
2018 O
года O
по O
3 O
июля O
2018 O
года O
с O
12 O
: O
00 O
до O
0 O
: O
00 O
в O
Москве O
по O
адресу O
: O
Гостиный O
двор O
, O
ул. B-Street"
38,"Сбор участников по адресу: г.Пермь, ул.Ленина, 51, Фестивальный дом на Эспланаде.","Сбор O
участников O
по O
адресу O
: O
г. B-City
Пермь I-City
, O
ул. B-Street
Ленина I-Street
, O
51 O
, O
Фестивальный O
дом O
на O
Эспланаде. O"
39,"По всем вопросам и жалобам в территориальный отдел №31 можно обращаться по адресу: Руза, ул.Социалистическая, д.74, 2 этаж.","По O
всем O
вопросам O
и O
жалобам O
в O
территориальный O
отдел O
№ O
31 O
можно O
обращаться O
по O
адресу O
: O
Руза O
, O
ул. B-Street
Социалистическая I-Street
, O
д. B-House
74 I-House
, O
2 O
этаж. O"
40,"Он отметил, что в 21:50 по адресу Рублевское шоссе, д.","Он O
отметил O
, O
что O
в O
21 O
: O
50 O
по O
адресу O
Рублевское O
шоссе B-Highway
, O
д. O"
41,"По данным движения, пятиэтажный дом по адресу 1-я Тверская-Ямская улица, 22, стр.","По O
данным O
движения O
, O
пятиэтажный O
дом O
по O
адресу O
1 O
- O
я O
Тверская-Ямская O
улица B-Street
, O
22 O
, O
стр. B-Building"
42,"13.00 - 14.00 – Пикет памяти у посольства Турции, по адресу: 7-й Ростовский переулок, д.12, станция метро Киевская.","13 O
. O
00 O
- O
14 O
. O
00 O
Пикет O
памяти O
у O
посольства O
Турции O
, O
по O
адресу O
: O
7 O
- O
й O
Ростовский O
переулок B-Lane
, O
д. B-House
12 I-House
, O
станция O
метро O
Киевская. O"
43,"Заявки и фотоизображения сувениров принимаются до 14 марта на e-mail: Ruzatur@gmail.com, либо по адресу: Московская область, г.Руза, ул.Солнцева, д.9, офис 24.","Заявки O
и O
фотоизображения O
сувениров O
принимаются O
до O
14 O
марта O
на O
e-mail O
: O
Ruzatur O
gmail. O
com O
, O
либо O
по O
адресу O
: O
Московская B-Oblast
область I-Oblast
, O
г. B-City
Руза I-City
, O
ул. B-Street
Солнцева I-Street
, O
д. B-House
9 I-House
, O
офис O
24 O
. O"
44,"«Я предлагаю согласиться со сносом всех строений, кроме здания бывшего доходного владения по адресу: Рождественский бульвар, дом 18, строение 2.","« O
Я O
предлагаю O
согласиться O
со O
сносом O
всех O
строений O
, O
кроме O
здания O
бывшего O
доходного O
владения O
по O
адресу O
: O
Рождественский O
бульвар B-Boulevard
, O
дом B-House
18 I-House
, O
строение B-Building
2 I-Building
. O"
45,"Как указывается в сообщении, с 15 июня 2007 прием граждан, подача документов и выдача паспортов с визами будет осуществляться в Центре VFS Франция по адресу: 109147, Москва, ул.Марксистская, 3, стр.","Как O
указывается O
в O
сообщении O
, O
с O
15 O
июня O
2007 O
прием O
граждан O
, O
подача O
документов O
и O
выдача O
паспортов O
с O
визами O
будет O
осуществляться O
в O
Центре O
VFS O
Франция O
по O
адресу O
: O
109147 O
, O
Москва O
, O
ул. B-Street
Марксистская I-Street
, O
3 O
, O
стр. B-Building"
46,"Компании, с которой столичные власти заключат контракт, предстоит выступить генеральным подрядчиком сноса зданий и сооружений больницы по адресу ул.Клинская, вл.2, а также подготовить площадку для дальнейшего строительства жилья.","Компании O
, O
с O
которой O
столичные O
власти O
заключат O
контракт O
, O
предстоит O
выступить O
генеральным O
подрядчиком O
сноса O
зданий O
и O
сооружений O
больницы O
по O
адресу O
ул. B-Street
Клинская I-Street
, O
вл. B-House
2 I-House
, O
а O
также O
подготовить O
площадку O
для O
дальнейшего O
строительства O
жилья. O"
47,В воскресенье около 01.00 по московскому времени около 10 неизвестных проникли в дом жертвы по адресу ул.,"В O
воскресенье O
около O
01 O
. O
00 O
по O
московскому O
времени O
около O
10 O
неизвестных O
проникли O
в O
дом O
жертвы O
по O
адресу O
ул. B-Street"
48,"Однако в настоящее время в горадминистрации подтверждают, что на улице Шаболовка появится новое трамвайное кольцо, но оно будет строиться таким образом, чтобы не мешать возведению жилого комплекса, который расположится по адресу улица Шаболовка, владение 7-9.","Однако O
в O
настоящее O
время O
в O
горадминистрации O
подтверждают O
, O
что O
на O
улице O
Шаболовка O
появится O
новое O
трамвайное O
кольцо O
, O
но O
оно O
будет O
строиться O
таким O
образом O
, O
чтобы O
не O
мешать O
возведению O
жилого O
комплекса O
, O
который O
расположится O
по O
адресу O
улица B-Street
Шаболовка I-Street
, O
владение O
7 O
- O
9 O
. O"
49,"Если в вашем городе нет представителя омбудсмена, нужно отправить обращение на адрес аппарата в Москве по адресу: 127006, Москва, ул. Садовая-Триумфальная, д. 10/13, стр. 1. Также можно отправить письмо по электронной почте: upchmo@mosreg.ru.","Если O
в O
вашем O
городе O
нет O
представителя O
омбудсмена O
, O
нужно O
отправить O
обращение O
на O
адрес O
аппарата O
в O
Москве O
по O
адресу O
: O
127006 O
, O
Москва O
, O
ул. B-Street
Садовая-Триумфальная I-Street
, O
д. B-House
10/13 I-House
, O
стр. B-Building
1 I-Building
. O
Также O
можно O
отправить O
письмо O
по O
электронной O
почте O
: O
upchmo O
mosreg. O
ru. O"
50,"В 06.00, дойдя до дома по адресу ул.Мясникяна 188, с намерением совершить разбойное ограбление с применением оружия, Пермяков зашел во двор через открытые ворота, подошел к дому, с помощью штык-ножа выдавил стекло с входной двери и, открыв ее при помощи ключа, оставленного в замке с внутренней стороны, вошел в дом.","В O
06 O
. O
00 O
, O
дойдя O
до O
дома O
по O
адресу O
ул. B-Street
Мясникяна I-Street
188 I-Street
, O
с O
намерением O
совершить O
разбойное O
ограбление O
с O
применением O
оружия O
, O
Пермяков O
зашел O
во O
двор O
через O
открытые O
ворота O
, O
подошел O
к B-Building
дому I-Building
, O
с O
помощью O
штык-ножа O
выдавил O
стекло O
с O
входной O
двери O
и O
, O
открыв O
ее O
при O
помощи O
ключа O
, O
оставленного O
в O
замке O
с O
внутренней O
стороны O
, O
вошел O
в O
дом. O"
51,"Как сообщил «Интерфаксу» в четверг источник, близкий к следствию, сержант Найденов служил в разведроте полка. Что касается Яшина, то он и в настоящее время зарегистрирован по адресу ул. Матросская Тишина, д. 10, в/ч 48/427 (адрес 45-го полка ВДВ).","Как O
сообщил O
« O
Интерфаксу O
» O
в O
четверг O
источник O
, O
близкий O
к B-Building
следствию I-Building
, O
сержант O
Найденов O
служил O
в O
разведроте O
полка. O
Что O
касается O
Яшина O
, O
то O
он O
и O
в O
настоящее O
время O
зарегистрирован O
по O
адресу O
ул. B-Street
Матросская I-Street
Тишина I-Street
, O
д. B-House
10 I-House
, O
в O
ч O
48/427 O
( O
адрес O
45 O
- O
го O
полка O
ВДВ O
) O
. O"
52,"Проект до 30 сентября работает в Центре Вознесенского по адресу: ул.Большая Ордынка, д.","Проект O
до O
30 O
сентября O
работает O
в O
Центре O
Вознесенского O
по O
адресу O
: O
ул. B-Street
Большая I-Street
Ордынка I-Street
, O
д. O"
53,"Церемония состоится в 14:00 по адресу улица Социалистическая, дом 18.","Церемония O
состоится O
в O
14 O
: O
00 O
по O
адресу O
улица B-Street
Социалистическая I-Street
, O
дом B-House
18 I-House
. O"
54,"В 14:00 памятный знак установят по адресу Померанцев переулок, дом 9.","В O
14 O
: O
00 O
памятный O
знак O
установят O
по O
адресу O
Померанцев O
переулок B-Lane
, O
дом B-House
9 I-House
. O"
55,"В 02.49 в оперативно-дежурную смену ЦУКС поступило сообщение о пожаре по адресу: Московская область, городской округ Химки, улица Калинина, дом 7, квартира 153.","В O
02 O
. O
49 O
в O
оперативно-дежурную O
смену O
ЦУКС O
поступило O
сообщение O
о O
пожаре O
по O
адресу O
: O
Московская B-Oblast
область I-Oblast
, O
городской O
округ O
Химки O
, O
улица B-Street
Калинина I-Street
, O
дом B-House
7 I-House
, O
квартира B-Flat
153 I-Flat
. O"
56,"Путёвки в детский оздоровительный лагерь «Юнармеец» приобретаются в помещении детского оздоровительно-образовательного центра по адресу: Свердловский, Монинское шоссе, владение № 2.","Путёвки O
в O
детский O
оздоровительный O
лагерь O
« O
Юнармеец O
» O
приобретаются O
в O
помещении O
детского O
оздоровительно-образовательного O
центра O
по O
адресу O
: O
Свердловский O
, O
Монинское O
шоссе B-Highway
, O
владение O
№ O
2 O
. O"
57,"Как сообщил «Интерфаксу» в четверг источник близкий к следствию, сержант Найденов служил в разведроте полка. Что касается Яшина, то он и в настоящее время зарегистрирован по адресу ул. Матросская Тишина, д. 10, в/ч 48/427 (адрес 45-го полка ВДВ).","Как O
сообщил O
« O
Интерфаксу O
» O
в O
четверг O
источник O
близкий O
к B-Building
следствию I-Building
, O
сержант O
Найденов O
служил O
в O
разведроте O
полка. O
Что O
касается O
Яшина O
, O
то O
он O
и O
в O
настоящее O
время O
зарегистрирован O
по O
адресу O
ул. B-Street
Матросская I-Street
Тишина I-Street
, O
д. B-House
10 I-House
, O
в O
ч O
48/427 O
( O
адрес O
45 O
- O
го O
полка O
ВДВ O
) O
. O"
58,"Для отправки почтовой корреспонденции в управление пользуйтесь отделениями почтовой связи или опускайте корреспонденцию в почтовый ящик, установленный в Рузском управлении социальной защиты населения по адресу: 143103, Московская область, г.Руза, ул.Социалистическая, д.59.","Для O
отправки O
почтовой O
корреспонденции O
в O
управление O
пользуйтесь O
отделениями O
почтовой O
связи O
или O
опускайте O
корреспонденцию O
в O
почтовый O
ящик O
, O
установленный O
в O
Рузском O
управлении O
социальной O
защиты O
населения O
по O
адресу O
: O
143103 O
, O
Московская B-Oblast
область I-Oblast
, O
г. B-City
Руза I-City
, O
ул. B-Street
Социалистическая I-Street
, O
д. B-House
59 I-House
. O"
59,"Кроме того, как сообщил NEWSru.com другой кандидат на пост мэра Москвы Герман Стерлигов, несколько дней назад его и его помощников перестали пускать в избирательный штаб, который располагается по адресу Красная площадь, дом 5.Охрана не дает вынести документы, компьютеры, печати, нет доступа к технике.","Кроме O
того O
, O
как O
сообщил O
NEWSru. O
com O
другой O
кандидат O
на O
пост O
мэра O
Москвы O
Герман O
Стерлигов O
, O
несколько O
дней O
назад O
его O
и O
его O
помощников O
перестали O
пускать O
в O
избирательный O
штаб O
, O
который O
располагается O
по O
адресу O
Красная O
площадь B-Street
, O
дом B-House
5 I-House
. O
Охрана O
не O
дает O
вынести O
документы O
, O
компьютеры O
, O
печати O
, O
нет O
доступа O
к B-Building
технике. I-Building"
60,"метров, в Северном административном округе по адресу: Дмитровское шоссе, д.127, корп.1, а также здание серии 1605-ам площадью 3,9 тысячи кв.","метров O
, O
в O
Северном O
административном O
округе O
по O
адресу O
: O
Дмитровское O
шоссе B-Highway
, O
д. B-House
127 I-House
, O
корп. B-Building
1 I-Building
, O
а O
также O
здание O
серии O
1605 O
- O
ам O
площадью O
3 O
, O
9 O
тысячи O
кв. B-Flat"
61,"В воскресенье, 2 декабря 2018 года, в Санкт-Петербурге по адресу улица Чайковского, дом 63, в рамках гражданской инициативы «Последний адрес» состоялась церемония установки мемориального знака трагически погибшему в период сталинских репрессий поляку Петру Иосифовичу Высоцкому, чьё дело было полностью сфальсифицировано сотрудниками НКВД СССР.","В O
воскресенье O
, O
2 O
декабря O
2018 O
года O
, O
в O
Санкт-Петербурге O
по O
адресу O
улица B-Street
Чайковского I-Street
, O
дом B-House
63 I-House
, O
в O
рамках O
гражданской O
инициативы O
« O
Последний O
адрес O
» O
состоялась O
церемония O
установки O
мемориального O
знака O
трагически O
погибшему O
в O
период O
сталинских O
репрессий O
поляку O
Петру O
Иосифовичу O
Высоцкому O
, O
чьё O
дело O
было O
полностью O
сфальсифицировано O
сотрудниками O
НКВД O
СССР. O"
62,"Если у вас есть документы подтверждающие права собственности на указанные объекты, просим вас обратиться в Управление имущественных отношений Администрации городского округа Щёлково по адресу: город Щёлково, 1-й Советский пер., д.2А (левое крыло).","Если O
у O
вас O
есть O
документы O
подтверждающие O
права O
собственности O
на O
указанные O
объекты O
, O
просим O
вас O
обратиться O
в O
Управление O
имущественных O
отношений O
Администрации O
городского O
округа O
Щёлково O
по O
адресу O
: O
город B-City
Щёлково I-City
, O
1 O
- O
й O
Советский O
пер. B-Lane
, O
д. B-House
2А I-House
( O
левое O
крыло O
) O
. O"
63,"Только к 17:00 сотрудники спецслужб смогли занять все помещения по адресу: улица Марии Ульяновой, д.","Только O
к B-Building
17 I-Building
: O
00 O
сотрудники O
спецслужб O
смогли O
занять O
все O
помещения O
по O
адресу O
: O
улица B-Street
Марии I-Street
Ульяновой I-Street
, O
д. O"
