"text","annotations"
"Я живу в Ростов-на-Дону, мкр Лесной, квартал 25.","Я O
живу O
в O
Ростов-на-Дону B-City
, O
мкр B-Microdistrict
Лесной I-Microdistrict
, O
квартал B-Quarter
25 I-Quarter
. O"
"Адрес: Пермь, улица Навагинская, дом 175, строении А, квартире 81.","Адрес O
: O
Пермь B-City
, O
улица B-Street
Навагинская I-Street
, O
дом B-House
175 I-House
, O
строении B-Building
А I-Building
, O
квартире B-Flat
81 I-Flat
. O"
"Точка на карте: Томск, улица Космонавтов, дом 223, сооружение 3.","Точка O
на O
карте O
: O
Томск B-City
, O
улица B-Street
Космонавтов I-Street
, O
дом B-House
223 I-House
, O
сооружение B-Structure
3 I-Structure
. O"
"Адрес: Иркутская область, Москва, улице Красная, д 5Б.","Адрес O
: O
Иркутская B-Oblast
область I-Oblast
, O
Москва B-City
, O
улице B-Street
Красная I-Street
, O
д B-House
5Б I-House
. O"
"Доставка по адресу: Камчатский край, город Набережные Челны, проспекте Ленина, дом 195, квартира 66.","Доставка O
по O
адресу O
: O
Камчатский B-Krai
край I-Krai
, O
город B-City
Набережные I-City
Челны I-City
, O
проспекте B-Avenue
Ленина I-Avenue
, O
дом B-House
195 I-House
, O
квартира B-Flat
66 I-Flat
. O"
"Мы переехали в Хакасия, в городе Иркутск, бульвар Золотой, д. 103.","Мы O
переехали O
в O
Хакасия B-Republic
, O
в O
городе B-City
Иркутск I-City
, O
бульвар B-Boulevard
Золотой I-Boulevard
, O
д. B-House
103 I-House
. O"
"Я родился в деревне Сосновка, в Калининский район, Нижегородская область.","Я O
родился O
в O
деревне B-Village
Сосновка I-Village
, O
в O
Калининский B-District
район I-District
, O
Нижегородская B-Oblast
область I-Oblast
. O"
"Поеду в поселке Северный, Кировский район, Ставропольский край.","Поеду O
в O
поселке B-Poselok
Северный I-Poselok
, O
Кировский B-District
район I-District
, O
Ставропольский B-Krai
край I-Krai
. O"
"Склад: Чукотский автономный округ, город Воронеж, шоссе Энтузиастов, дом 59А, строении 2, сооружении 8.","Склад O
: O
Чукотский B-AO
автономный I-AO
округ I-AO
, O
город B-City
Воронеж I-City
, O
шоссе B-Highway
Энтузиастов I-Highway
, O
дом B-House
59А I-House
, O
строении B-Building
2 I-Building
, O
сооружении B-Structure
8 I-Structure
. O"
"Встретимся на набережной Дона в город Химки.","Встретимся O
на O
набережной B-Embankment
Дона I-Embankment
в O
город B-City
Химки I-City
. O"
"Живу в микрорайон Северный, Химки, улица Октябрьская, дом 16.","Живу O
в O
микрорайон B-Microdistrict
Северный I-Microdistrict
, O
Химки B-City
, O
улица B-Street
Октябрьская I-Street
, O
дом B-House
16 I-House
. O"
"Квартира квартире 410 находится по адресу: Ростов-на-Дону, переулок Речной, д 47.","Квартира O
квартире B-Flat
410 I-Flat
находится O
по O
адресу O
: O
Ростов-на-Дону B-City
, O
переулок B-Lane
Речной I-Lane
, O
д B-House
47 I-House
. O"
"Наш офис в муниципальное образование Академический, Набережные Челны, проспект Ленина, дом 249А.","Наш O
офис O
в O
муниципальное B-Municipality
образование I-Municipality
Академический I-Municipality
, O
Набережные B-City
Челны I-City
, O
проспект B-Avenue
Ленина I-Avenue
, O
дом B-House
249А I-House
. O"
"Мы находимся в Россия, Ростовская область, Великий Новгород.","Мы O
находимся O
в O
Россия B-Country
, O
Ростовская B-Oblast
область I-Oblast
, O
Великий B-City
Новгород I-City
. O"
"Отправь письмо: Россия, Татарстан, Железнодорожный район, селе Никольское, улице Речная, д 40А.","Отправь O
письмо O
: O
Россия B-Country
, O
Татарстан B-Republic
, O
Железнодорожный B-District
район I-District
, O
селе B-Selo
Никольское I-Selo
, O
улице B-Street
Речная I-Street
, O
д B-House
40А I-House
. O"
"Я живу в Саратов, мкр Сходня, квартале 4.","Я O
живу O
в O
Саратов B-City
, O
мкр B-Microdistrict
Сходня I-Microdistrict
, O
квартале B-Quarter
4 I-Quarter
. O"
"Адрес: город Пермь, улица Ленина, доме 18, стр 4, кв 127.","Адрес O
: O
город B-City
Пермь I-City
, O
улица B-Street
Ленина I-Street
, O
доме B-House
18 I-House
, O
стр B-Building
4 I-Building
, O
кв B-Flat
127 I-Flat
. O"
"Точка на карте: Нижний Новгород, улице Парковая, д. 53, сооружении Б.","Точка O
на O
карте O
: O
Нижний B-City
Новгород I-City
, O
улице B-Street
Парковая I-Street
, O
д. B-House
53 I-House
, O
сооружении B-Structure
Б I-Structure
. O"
"Адрес: Новосибирская область, Санкт-Петербург, улица Кирова, д 160.","Адрес O
: O
Новосибирская B-Oblast
область I-Oblast
, O
Санкт-Петербург B-City
, O
улица B-Street
Кирова I-Street
, O
д B-House
160 I-House
. O"
"Доставка по адресу: Ставропольский край, город Санкт-Петербург, проспект Октября, доме 95, квартире 427.","Доставка O
по O
адресу O
: O
Ставропольский B-Krai
край I-Krai
, O
город B-City
Санкт-Петербург I-City
, O
проспект B-Avenue
Октября I-Avenue
, O
доме B-House
95 I-House
, O
квартире B-Flat
427 I-Flat
. O"
"Мы переехали в Чувашия, в Калуга, бульваре Надежд, дом 241.","Мы O
переехали O
в O
Чувашия B-Republic
, O
в O
Калуга B-City
, O
бульваре B-Boulevard
Надежд I-Boulevard
, O
дом B-House
241 I-House
. O"
"Я родился в деревня Михайловка, в Ленинский район, Омская область.","Я O
родился O
в O
деревня B-Village
Михайловка I-Village
, O
в O
Ленинский B-District
район I-District
, O
Омская B-Oblast
область I-Oblast
. O"
"Поеду в поселке Озерный, Октябрьский район, Камчатский край.","Поеду O
в O
поселке B-Poselok
Озерный I-Poselok
, O
Октябрьский B-District
район I-District
, O
Камчатский B-Krai
край I-Krai
. O"
"Склад: Ямало-Ненецкий автономный округ, Санкт-Петербург, шоссе Симферопольское, д. 232, строение В, сооружении А.","Склад O
: O
Ямало-Ненецкий B-AO
автономный I-AO
округ I-AO
, O
Санкт-Петербург B-City
, O
шоссе B-Highway
Симферопольское I-Highway
, O
д. B-House
232 I-House
, O
строение B-Building
В I-Building
, O
сооружении B-Structure
А I-Structure
. O"
"Встретимся на набережная Енисея в Великий Новгород.","Встретимся O
на O
набережная B-Embankment
Енисея I-Embankment
в O
Великий B-City
Новгород I-City
. O"
"Живу в мкр Лесной, города Ростов-на-Дону, улице Ленина, доме 111Б.","Живу O
в O
мкр B-Microdistrict
Лесной I-Microdistrict
, O
города B-City
Ростов-на-Дону I-City
, O
улице B-Street
Ленина I-Street
, O
доме B-House
111Б I-House
. O"
"Квартира квартире 461 находится по адресу: Казань, переулок Почтовый, доме 171В.","Квартира O
квартире B-Flat
461 I-Flat
находится O
по O
адресу O
: O
Казань B-City
, O
переулок B-Lane
Почтовый I-Lane
, O
доме B-House
171В I-House
. O"
"Наш офис в муниципальное образование Центральный, Псков, проспект Мира, д 7Б.","Наш O
офис O
в O
муниципальное B-Municipality
образование I-Municipality
Центральный I-Municipality
, O
Псков B-City
, O
проспект B-Avenue
Мира I-Avenue
, O
д B-House
7Б I-House
. O"
"Мы находимся в Российская Федерация, Калужская область, Псков.","Мы O
находимся O
в O
Российская B-Country
Федерация I-Country
, O
Калужская B-Oblast
область I-Oblast
, O
Псков B-City
. O"
"Отправь письмо: Российская Федерация, Эл, Ленинский район, село Новое, улица Чехова, доме 210.","Отправь O
письмо O
: O
Российская B-Country
Федерация I-Country
, O
Эл B-Republic
, O
Ленинский B-District
район I-District
, O
село B-Selo
Новое I-Selo
, O
улица B-Street
Чехова I-Street
, O
доме B-House
210 I-House
. O"
"Я живу в город Псков, мкр Сходня, квартал 26.","Я O
живу O
в O
город B-City
Псков I-City
, O
мкр B-Microdistrict
Сходня I-Microdistrict
, O
квартал B-Quarter
26 I-Quarter
. O"
"Адрес: городе Томск, улице Молодёжная, д. 241Б, строение 10, квартира 306.","Адрес O
: O
городе B-City
Томск I-City
, O
улице B-Street
Молодёжная I-Street
, O
д. B-House
241Б I-House
, O
строение B-Building
10 I-Building
, O
квартира B-Flat
306 I-Flat
. O"
"Точка на карте: Тверь, улица Парковая, д 231, сооружении В.","Точка O
на O
карте O
: O
Тверь B-City
, O
улица B-Street
Парковая I-Street
, O
д B-House
231 I-House
, O
сооружении B-Structure
В I-Structure
. O"
"Адрес: Московская область, Курск, улица Комсомольская, д. 111В.","Адрес O
: O
Московская B-Oblast
область I-Oblast
, O
Курск B-City
, O
улица B-Street
Комсомольская I-Street
, O
д. B-House
111В I-House
. O"
"Доставка по адресу: Приморский край, Сургут, проспекте Космонавтов, д 84, квартире 284.","Доставка O
по O
адресу O
: O
Приморский B-Krai
край I-Krai
, O
Сургут B-City
, O
проспекте B-Avenue
Космонавтов I-Avenue
, O
д B-House
84 I-House
, O
квартире B-Flat
284 I-Flat
. O"
"Мы переехали в Марий Эл, в Уфа, бульваре Морской, дом 78.","Мы O
переехали O
в O
Марий B-Republic
Эл I-Republic
, O
в O
Уфа B-City
, O
бульваре B-Boulevard
Морской I-Boulevard
, O
дом B-House
78 I-House
. O"
"Я родился в деревни Заречье, в Приморский район, Волгоградская область.","Я O
родился O
в O
деревни B-Village
Заречье I-Village
, O
в O
Приморский B-District
район I-District
, O
Волгоградская B-Oblast
область I-Oblast
. O"
"Поеду в посёлке Солнечный, Фрунзенский район, Забайкальский край.","Поеду O
в O
посёлке B-Poselok
Солнечный I-Poselok
, O
Фрунзенский B-District
район I-District
, O
Забайкальский B-Krai
край I-Krai
. O"
"Склад: Ямало-Ненецкий автономный округ, Уфа, шоссе Московское, д. 132, стр 6, сооружении 4.","Склад O
: O
Ямало-Ненецкий B-AO
автономный I-AO
округ I-AO
, O
Уфа B-City
, O
шоссе B-Highway
Московское I-Highway
, O
д. B-House
132 I-House
, O
стр B-Building
6 I-Building
, O
сооружении B-Structure
4 I-Structure
. O"
"Встретимся на набережная Речной в городе Сочи.","Встретимся O
на O
набережная B-Embankment
Речной I-Embankment
в O
городе B-City
Сочи I-City
. O"
"Живу в мкр Лесной, Владивосток, улице Чехова, доме 38.","Живу O
в O
мкр B-Microdistrict
Лесной I-Microdistrict
, O
Владивосток B-City
, O
улице B-Street
Чехова I-Street
, O
доме B-House
38 I-House
. O"
"Квартира квартира 458 находится по адресу: Сургут, переулок Берёзовый, доме 206.","Квартира O
квартира B-Flat
458 I-Flat
находится O
по O
адресу O
: O
Сургут B-City
, O
переулок B-Lane
Берёзовый I-Lane
, O
доме B-House
206 I-House
. O"
"Наш офис в муниципальное образование Центральный, городе Нижний Новгород, проспекте Мира, д. 244.","Наш O
офис O
в O
муниципальное B-Municipality
образование I-Municipality
Центральный I-Municipality
, O
городе B-City
Нижний I-City
Новгород I-City
, O
проспекте B-Avenue
Мира I-Avenue
, O
д. B-House
244 I-House
. O"
"Мы находимся в Российская Федерация, Тюменская область, Химки.","Мы O
находимся O
в O
Российская B-Country
Федерация I-Country
, O
Тюменская B-Oblast
область I-Oblast
, O
Химки B-City
. O"
"Отправь письмо: РФ, Дагестан, Фрунзенский район, селе Лесное, улице Садовая, д 161Б.","Отправь O
письмо O
: O
РФ B-Country
, O
Дагестан B-Republic
, O
Фрунзенский B-District
район I-District
, O
селе B-Selo
Лесное I-Selo
, O
улице B-Street
Садовая I-Street
, O
д B-House
161Б I-House
. O"
"Я живу в городе Санкт-Петербург, мкр Солнечный, квартал 9.","Я O
живу O
в O
городе B-City
Санкт-Петербург I-City
, O
мкр B-Microdistrict
Солнечный I-Microdistrict
, O
квартал B-Quarter
9 I-Quarter
. O"
"Адрес: города Омск, улица Советская, д 105, строении 7, квартире 200.","Адрес O
: O
города B-City
Омск I-City
, O
улица B-Street
Советская I-Street
, O
д B-House
105 I-House
, O
строении B-Building
7 I-Building
, O
квартире B-Flat
200 I-Flat
. O"
"Точка на карте: Москва, улице 50-летия Октября, д 2, сооружении 7.","Точка O
на O
карте O
: O
Москва B-City
, O
улице B-Street
50-летия I-Street
Октября I-Street
, O
д B-House
2 I-House
, O
сооружении B-Structure
7 I-Structure
. O"
"Адрес: Нижегородская область, городе Москва, улице Полевая, доме 216.","Адрес O
: O
Нижегородская B-Oblast
область I-Oblast
, O
городе B-City
Москва I-City
, O
улице B-Street
Полевая I-Street
, O
доме B-House
216 I-House
. O"
"Доставка по адресу: Пермский край, Владивосток, проспект Невский, д 35, квартира 26.","Доставка O
по O
адресу O
: O
Пермский B-Krai
край I-Krai
, O
Владивосток B-City
, O
проспект B-Avenue
Невский I-Avenue
, O
д B-House
35 I-House
, O
квартира B-Flat
26 I-Flat
. O"
"Мы переехали в Якутия, в городе Великий Новгород, бульваре Юности, дом 121В.","Мы O
переехали O
в O
Якутия B-Republic
, O
в O
городе B-City
Великий I-City
Новгород I-City
, O
бульваре B-Boulevard
Юности I-Boulevard
, O
дом B-House
121В I-House
. O"
"Я родился в деревне Ольгино, в Кировский район, Волгоградская область.","Я O
родился O
в O
деревне B-Village
Ольгино I-Village
, O
в O
Кировский B-District
район I-District
, O
Волгоградская B-Oblast
область I-Oblast
. O"
"Поеду в поселок Северный, Центральный район, Алтайский край.","Поеду O
в O
поселок B-Poselok
Северный I-Poselok
, O
Центральный B-District
район I-District
, O
Алтайский B-Krai
край I-Krai
. O"
"Склад: Ямало-Ненецкий автономный округ, Псков, шоссе Каширское, дом 145, строении 5, сооружение 3.","Склад O
: O
Ямало-Ненецкий B-AO
автономный I-AO
округ I-AO
, O
Псков B-City
, O
шоссе B-Highway
Каширское I-Highway
, O
дом B-House
145 I-House
, O
строении B-Building
5 I-Building
, O
сооружение B-Structure
3 I-Structure
. O"
"Встретимся на набережная Оби в Владивосток.","Встретимся O
на O
набережная B-Embankment
Оби I-Embankment
в O
Владивосток B-City
. O"
"Живу в мкр Лесной, город Калуга, улице Мира, дом 204.","Живу O
в O
мкр B-Microdistrict
Лесной I-Microdistrict
, O
город B-City
Калуга I-City
, O
улице B-Street
Мира I-Street
, O
дом B-House
204 I-House
. O"
"Квартира квартира 178 находится по адресу: Сочи, переулок Почтовый, д 211.","Квартира O
квартира B-Flat
178 I-Flat
находится O
по O
адресу O
: O
Сочи B-City
, O
переулок B-Lane
Почтовый I-Lane
, O
д B-House
211 I-House
. O"
"Наш офис в муниципальное образование Центральный, Самара, проспекте Мира, доме 188.","Наш O
офис O
в O
муниципальное B-Municipality
образование I-Municipality
Центральный I-Municipality
, O
Самара B-City
, O
проспекте B-Avenue
Мира I-Avenue
, O
доме B-House
188 I-House
. O"
"Мы находимся в РФ, Челябинская область, Тюмень.","Мы O
находимся O
в O
РФ B-Country
, O
Челябинская B-Oblast
область I-Oblast
, O
Тюмень B-City
. O"
"Отправь письмо: Российская Федерация, Эл, Приморский район, селе Никольское, улица Садовая, д. 226.","Отправь O
письмо O
: O
Российская B-Country
Федерация I-Country
, O
Эл B-Republic
, O
Приморский B-District
район I-District
, O
селе B-Selo
Никольское I-Selo
, O
улица B-Street
Садовая I-Street
, O
д. B-House
226 I-House
. O"
"Я живу в Курск, микрорайоне Лесной, квартал 32.","Я O
живу O
в O
Курск B-City
, O
микрорайоне B-Microdistrict
Лесной I-Microdistrict
, O
квартал B-Quarter
32 I-Quarter
. O"
"Адрес: Ростов-на-Дону, улице Новая, д. 72, стр 5, кв 486.","Адрес O
: O
Ростов-на-Дону B-City
, O
улице B-Street
Новая I-Street
, O
д. B-House
72 I-House
, O
стр B-Building
5 I-Building
, O
кв B-Flat
486 I-Flat
. O"
"Точка на карте: городе Великий Новгород, улица Энергетиков, д 166, сооружении А.","Точка O
на O
карте O
: O
городе B-City
Великий I-City
Новгород I-City
, O
улица B-Street
Энергетиков I-Street
, O
д B-House
166 I-House
, O
сооружении B-Structure
А I-Structure
. O"
"Адрес: Свердловская область, Набережные Челны, улице Новая, д. 109.","Адрес O
: O
Свердловская B-Oblast
область I-Oblast
, O
Набережные B-City
Челны I-City
, O
улице B-Street
Новая I-Street
, O
д. B-House
109 I-House
. O"
"Доставка по адресу: Красноярский край, городе Томск, проспект Космонавтов, дом 185А, кв 275.","Доставка O
по O
адресу O
: O
Красноярский B-Krai
край I-Krai
, O
городе B-City
Томск I-City
, O
проспект B-Avenue
Космонавтов I-Avenue
, O
дом B-House
185А I-House
, O
кв B-Flat
275 I-Flat
. O"
"Мы переехали в Эл, в городе Великий Новгород, бульвар Морской, доме 76А.","Мы O
переехали O
в O
Эл B-Republic
, O
в O
городе B-City
Великий I-City
Новгород I-City
, O
бульвар B-Boulevard
Морской I-Boulevard
, O
доме B-House
76А I-House
. O"
"Я родился в деревня Михайловка, в Калининский район, Новосибирская область.","Я O
родился O
в O
деревня B-Village
Михайловка I-Village
, O
в O
Калининский B-District
район I-District
, O
Новосибирская B-Oblast
область I-Oblast
. O"
"Поеду в поселок Прибрежный, Центральный район, Красноярский край.","Поеду O
в O
поселок B-Poselok
Прибрежный I-Poselok
, O
Центральный B-District
район I-District
, O
Красноярский B-Krai
край I-Krai
. O"
"Склад: Чукотский автономный округ, Великий Новгород, шоссе Энтузиастов, д. 121, строении А, сооружении А.","Склад O
: O
Чукотский B-AO
автономный I-AO
округ I-AO
, O
Великий B-City
Новгород I-City
, O
шоссе B-Highway
Энтузиастов I-Highway
, O
д. B-House
121 I-House
, O
строении B-Building
А I-Building
, O
сооружении B-Structure
А I-Structure
. O"
"Встретимся на набережная Камы в Омск.","Встретимся O
на O
набережная B-Embankment
Камы I-Embankment
в O
Омск B-City
. O"
"Живу в мкр Южный, Ростов-на-Дону, улице Мира, доме 199.","Живу O
в O
мкр B-Microdistrict
Южный I-Microdistrict
, O
Ростов-на-Дону B-City
, O
улице B-Street
Мира I-Street
, O
доме B-House
199 I-House
. O"
"Квартира квартире 466 находится по адресу: Химки, переулок Южный, дом 243.","Квартира O
квартире B-Flat
466 I-Flat
находится O
по O
адресу O
: O
Химки B-City
, O
переулок B-Lane
Южный I-Lane
, O
дом B-House
243 I-House
. O"
"Наш офис в муниципальное образование Академический, город Ростов-на-Дону, проспект Науки, доме 1.","Наш O
офис O
в O
муниципальное B-Municipality
образование I-Municipality
Академический I-Municipality
, O
город B-City
Ростов-на-Дону I-City
, O
проспект B-Avenue
Науки I-Avenue
, O
доме B-House
1 I-House
. O"
"Мы находимся в РФ, Тюменская область, Санкт-Петербург.","Мы O
находимся O
в O
РФ B-Country
, O
Тюменская B-Oblast
область I-Oblast
, O
Санкт-Петербург B-City
. O"
"Отправь письмо: РФ, Алтай, Фрунзенский район, села Сидорово, улице Садовая, доме 109А.","Отправь O
письмо O
: O
РФ B-Country
, O
Алтай B-Republic
, O
Фрунзенский B-District
район I-District
, O
села B-Selo
Сидорово I-Selo
, O
улице B-Street
Садовая I-Street
, O
доме B-House
109А I-House
. O"
"Я живу в Омск, микрорайон Северный, квартал 20.","Я O
живу O
в O
Омск B-City
, O
микрорайон B-Microdistrict
Северный I-Microdistrict
, O
квартал B-Quarter
20 I-Quarter
. O"
"Адрес: Ижевск, улица Октябрьская, д 177, строении В, квартире 42.","Адрес O
: O
Ижевск B-City
, O
улица B-Street
Октябрьская I-Street
, O
д B-House
177 I-House
, O
строении B-Building
В I-Building
, O
квартире B-Flat
42 I-Flat
. O"
"Точка на карте: Тверь, улице Красная, дом 24В, сооружение 5.","Точка O
на O
карте O
: O
Тверь B-City
, O
улице B-Street
Красная I-Street
, O
дом B-House
24В I-House
, O
сооружение B-Structure
5 I-Structure
. O"
"Адрес: Калужская область, Калуга, улице Октябрьская, доме 150.","Адрес O
: O
Калужская B-Oblast
область I-Oblast
, O
Калуга B-City
, O
улице B-Street
Октябрьская I-Street
, O
доме B-House
150 I-House
. O"
"Доставка по адресу: Забайкальский край, Химки, проспекте Октября, дом 220Б, кв 254.","Доставка O
по O
адресу O
: O
Забайкальский B-Krai
край I-Krai
, O
Химки B-City
, O
проспекте B-Avenue
Октября I-Avenue
, O
дом B-House
220Б I-House
, O
кв B-Flat
254 I-Flat
. O"
"Мы переехали в Коми, в Самара, бульваре Цветочный, д. 83Б.","Мы O
переехали O
в O
Коми B-Republic
, O
в O
Самара B-City
, O
бульваре B-Boulevard
Цветочный I-Boulevard
, O
д. B-House
83Б I-House
. O"
"Я родился в деревня Старое, в Калининский район, Нижегородская область.","Я O
родился O
в O
деревня B-Village
Старое I-Village
, O
в O
Калининский B-District
район I-District
, O
Нижегородская B-Oblast
область I-Oblast
. O"
"Поеду в поселок Дорожный, Кировский район, Красноярский край.","Поеду O
в O
поселок B-Poselok
Дорожный I-Poselok
, O
Кировский B-District
район I-District
, O
Красноярский B-Krai
край I-Krai
. O"
"Склад: Чукотский автономный округ, Самара, шоссе Энтузиастов, д. 141Б, строении 8, сооружение 3.","Склад O
: O
Чукотский B-AO
автономный I-AO
округ I-AO
, O
Самара B-City
, O
шоссе B-Highway
Энтузиастов I-Highway
, O
д. B-House
141Б I-House
, O
строении B-Building
8 I-Building
, O
сооружение B-Structure
3 I-Structure
. O"
"Встретимся на набережной Оби в городе Сургут.","Встретимся O
на O
набережной B-Embankment
Оби I-Embankment
в O
городе B-City
Сургут I-City
. O"
"Живу в мкр Северный, Ижевск, улице Космонавтов, д 214.","Живу O
в O
мкр B-Microdistrict
Северный I-Microdistrict
, O
Ижевск B-City
, O
улице B-Street
Космонавтов I-Street
, O
д B-House
214 I-House
. O"
"Квартира квартире 125 находится по адресу: Ростов-на-Дону, переулок Садовый, д. 198.","Квартира O
квартире B-Flat
125 I-Flat
находится O
по O
адресу O
: O
Ростов-на-Дону B-City
, O
переулок B-Lane
Садовый I-Lane
, O
д. B-House
198 I-House
. O"
"Наш офис в муниципальное образование Центральный, город Томск, проспекте Космонавтов, д 222В.","Наш O
офис O
в O
муниципальное B-Municipality
образование I-Municipality
Центральный I-Municipality
, O
город B-City
Томск I-City
, O
проспекте B-Avenue
Космонавтов I-Avenue
, O
д B-House
222В I-House
. O"
"Мы находимся в Российская Федерация, Самарская область, городе Владивосток.","Мы O
находимся O
в O
Российская B-Country
Федерация I-Country
, O
Самарская B-Oblast
область I-Oblast
, O
городе B-City
Владивосток I-City
. O"
"Отправь письмо: Российская Федерация, Эл, Кировский район, селе Ключи, улице Садовая, дом 82.","Отправь O
письмо O
: O
Российская B-Country
Федерация I-Country
, O
Эл B-Republic
, O
Кировский B-District
район I-District
, O
селе B-Selo
Ключи I-Selo
, O
улице B-Street
Садовая I-Street
, O
дом B-House
82 I-House
. O"
"Я живу в Владивосток, микрорайоне Южный, квартал 9.","Я O
живу O
в O
Владивосток B-City
, O
микрорайоне B-Microdistrict
Южный I-Microdistrict
, O
квартал B-Quarter
9 I-Quarter
. O"
"Адрес: Сургут, улица Октябрьская, д 4, строении А, квартире 174.","Адрес O
: O
Сургут B-City
, O
улица B-Street
Октябрьская I-Street
, O
д B-House
4 I-House
, O
строении B-Building
А I-Building
, O
квартире B-Flat
174 I-Flat
. O"
"Точка на карте: Сочи, улице Полевая, д. 161, сооружении 9.","Точка O
на O
карте O
: O
Сочи B-City
, O
улице B-Street
Полевая I-Street
, O
д. B-House
161 I-House
, O
сооружении B-Structure
9 I-Structure
. O"
"Адрес: Свердловская область, Псков, улице Кирова, дом 195.","Адрес O
: O
Свердловская B-Oblast
область I-Oblast
, O
Псков B-City
, O
улице B-Street
Кирова I-Street
, O
дом B-House
195 I-House
. O"
"Доставка по адресу: Ставропольский край, Москва, проспекте Невский, дом 76, квартире 75.","Доставка O
по O
адресу O
: O
Ставропольский B-Krai
край I-Krai
, O
Москва B-City
, O
проспекте B-Avenue
Невский I-Avenue
, O
дом B-House
76 I-House
, O
квартире B-Flat
75 I-Flat
. O"
"Мы переехали в Коми, в Уфа, бульвар Сиреневый, д 159.","Мы O
переехали O
в O
Коми B-Republic
, O
в O
Уфа B-City
, O
бульвар B-Boulevard
Сиреневый I-Boulevard
, O
д B-House
159 I-House
. O"
"Я родился в деревни Поляны, в Советский район, Свердловская область.","Я O
родился O
в O
деревни B-Village
Поляны I-Village
, O
в O
Советский B-District
район I-District
, O
Свердловская B-Oblast
область I-Oblast
. O"
"Поеду в посёлок Горный, Фрунзенский район, Камчатский край.","Поеду O
в O
посёлок B-Poselok
Горный I-Poselok
, O
Фрунзенский B-District
район I-District
, O
Камчатский B-Krai
край I-Krai
. O"
"Склад: Ханты-Мансийский автономный округ, Ижевск, шоссе Московское, дом 114, стр В, сооружении 8.","Склад O
: O
Ханты-Мансийский B-AO
автономный I-AO
округ I-AO
, O
Ижевск B-City
, O
шоссе B-Highway
Московское I-Highway
, O
дом B-House
114 I-House
, O
стр B-Building
В I-Building
, O
сооружении B-Structure
8 I-Structure
. O"
"Встретимся на набережной Камы в города Киров.","Встретимся O
на O
набережной B-Embankment
Камы I-Embankment
в O
города B-City
Киров I-City
. O"
